Date,Equity MarketValue,Equity Count,Bond MarketValue,Bond Count,Commodity MarketValue,Commodity Count,FX MarketValue,FX Count,Derivatives MarketValue,Derivatives Count
2022-11-25,29514623.88,16,9150671.87,2,5060104.83,3,0.00,0,10104.18,14
2022-11-28,29108448.84,17,18067417.94,4,4950313.70,3,0.00,0,7596.10,15
2022-11-29,28926517.77,16,18028987.13,4,5010707.68,3,0.00,0,7531.37,12
2022-11-30,30123432.22,16,18239192.98,4,5049307.48,3,0.00,0,8482.78,12
2022-12-01,30148936.08,16,18753595.68,4,5148904.07,3,0.00,0,7723.12,12
2022-12-02,30097809.51,16,19102302.30,4,5215244.06,3,0.00,0,7915.83,12
2022-12-05,32362754.45,18,17359441.64,5,4723791.87,3,0.00,0,4340.79,15
2022-12-06,31835686.54,17,17377519.30,4,4718125.62,3,0.00,0,4674.83,12
2022-12-07,33102833.75,17,17513144.56,5,4911798.06,3,0.00,0,4766.63,12
2022-12-08,35507710.42,17,18821265.40,4,5200494.22,3,0.00,0,4440.22,12
2022-12-09,35246850.67,18,18746112.20,4,5111171.95,3,0.00,0,4398.27,12
2022-12-12,35824356.69,18,19699974.52,4,2634724.62,3,0.00,0,8243.39,18
2022-12-13,39123317.23,17,22529108.72,4,2959214.52,3,0.00,0,9283.35,13
2022-12-14,38686062.33,17,21541618.48,4,2821306.06,3,0.00,0,9518.04,13
2022-12-15,39657314.18,17,22573107.90,4,2966897.31,3,0.00,0,9365.75,13
2022-12-16,33930417.03,17,18922941.70,4,2501792.52,3,0.00,0,13107.49,14
2022-12-19,39296806.19,21,16541809.92,4,1899146.91,3,0.00,0,25783.16,20
2022-12-20,36967339.72,19,15398825.97,3,1795120.63,2,0.00,0,24353.79,15
2022-12-21,37408109.49,19,15491309.26,4,1810672.27,2,0.00,0,24404.50,15
2022-12-22,36798504.48,19,15445218.44,3,1778114.25,2,0.00,0,24430.25,15
2022-12-23,36773018.25,19,15441338.26,3,1809810.63,2,0.00,0,24412.97,15
2022-12-26,36773018.25,19,15441338.26,3,1809810.63,2,0.00,0,24417.13,15
2022-12-27,39737088.58,22,9740348.77,3,3381337.65,2,0.00,0,19891.34,18
2022-12-28,40320734.15,20,9777583.69,3,3322776.38,2,0.00,0,15852.60,16
2022-12-29,40966669.62,20,9841297.37,3,3427194.92,2,0.00,0,14778.83,15
2022-12-30,40954021.75,20,9924468.68,3,3446971.27,2,0.00,0,15986.16,15
2023-01-03,43476348.11,20,10720582.12,3,3577557.36,2,0.00,0,-33055.19,18
2023-01-04,43740277.49,20,10812781.11,3,3587213.26,2,0.00,0,-33167.16,14
2023-01-05,46591227.86,20,11460964.17,3,3962067.26,2,0.00,0,-32968.16,14
2023-01-06,53056619.96,20,12884362.17,3,4427299.07,2,0.00,0,-40123.29,14
2023-01-09,50513098.51,23,13213735.98,3,7684386.73,3,0.00,0,-9258.30,16
2023-01-10,50821466.48,19,13195664.46,3,7825777.06,3,0.00,0,-9712.00,14
2023-01-11,51696029.72,19,13443600.91,3,7848881.22,3,0.00,0,-9758.55,14
2023-01-12,52076599.58,19,13530784.84,3,8049788.48,3,0.00,0,-10684.24,14
2023-01-13,53973113.67,19,13989409.76,3,8078258.59,3,0.00,0,-10029.00,14
2023-01-16,53973113.67,19,13989409.76,3,8078258.59,3,0.00,0,-10024.00,14
2023-01-17,51402429.79,23,19595987.48,3,6568824.77,3,0.00,0,31086.03,19
2023-01-18,51163588.37,19,19735219.44,3,6474825.57,3,0.00,0,31551.88,15
2023-01-19,51059179.16,19,19706541.64,3,6639545.36,3,0.00,0,31349.02,15
2023-01-20,55055140.96,19,20844747.46,3,7013764.08,3,0.00,0,32814.17,15
2023-01-23,53455117.01,21,16668578.35,3,6185126.07,3,0.00,0,27514.01,17
2023-01-24,53505082.70,19,16708769.16,3,6165461.06,3,0.00,0,27480.43,18
2023-01-25,56559160.31,19,17769078.98,4,6596153.66,3,0.00,0,28192.80,16
2023-01-26,60640490.22,19,19025505.33,3,7175433.85,3,0.00,0,31083.42,16
2023-01-27,60912461.44,20,18989276.95,3,7075595.09,3,0.00,0,31101.60,16
2023-01-30,62178880.41,21,20801598.58,3,3613421.94,3,0.00,0,19994.52,19
2023-01-31,62676348.99,19,20921602.55,3,3638055.94,3,0.00,0,19422.17,16
2023-02-01,63816015.62,20,20988044.50,3,3610773.49,3,0.00,0,19973.00,16
2023-02-02,68070674.58,19,22202742.78,3,3791742.92,3,0.00,0,21764.38,16
2023-02-03,63374216.39,19,20697003.64,7,3666298.06,3,0.00,0,19533.04,16
2023-02-06,55233799.24,22,18036260.03,3,3168107.39,3,0.00,0,2395.86,18
2023-02-07,55941097.86,19,18036811.37,3,3234613.84,3,0.00,0,2109.09,15
2023-02-08,55410671.68,19,18036886.04,3,3223453.22,3,0.00,0,2133.54,15
2023-02-09,55994422.25,19,18852655.26,3,3244187.49,3,0.00,0,1948.49,15
2023-02-10,55109047.82,19,18074681.90,4,3291196.43,3,0.00,0,1788.15,17
2023-02-13,46717471.68,21,28308992.11,7,7243257.38,3,0.00,0,-186910.39,24
2023-02-14,46963835.03,17,28263016.67,7,7250140.40,3,0.00,0,-186139.18,13
2023-02-15,50211382.09,18,30340846.33,7,7717937.42,3,0.00,0,-194534.22,13
2023-02-16,52008123.75,17,32176638.12,7,8221114.36,3,0.00,0,-211776.02,13
2023-02-17,46483855.08,17,9037457.02,7,7558730.04,3,0.00,0,-195955.47,13
2023-02-20,46483855.08,17,9037457.02,7,7558730.04,3,0.00,0,-195891.47,13
2023-02-21,41772900.57,19,8159225.89,7,3515063.29,3,0.00,0,-55516.74,16
2023-02-22,36968103.05,17,7202430.64,7,3063147.09,3,0.00,0,-48881.71,12
2023-02-23,39270315.43,17,7665648.13,7,3295263.97,3,0.00,0,-52810.62,12
2023-02-24,38691069.91,17,7623394.33,7,3285395.57,3,0.00,0,-51719.68,12
2023-02-27,38920381.17,20,7638564.70,7,3297579.35,3,0.00,0,-32996.91,15
2023-02-28,38830054.48,17,7642153.89,7,3273297.33,3,0.00,0,-33074.90,12
2023-03-01,40479929.47,17,7932756.30,7,3459153.26,3,0.00,0,-32716.53,12
2023-03-02,40781585.08,17,7937299.33,7,3384521.62,3,0.00,0,-33647.72,12
2023-03-03,43704371.13,17,8429563.28,7,3620122.99,3,0.00,0,-34687.72,12
2023-03-06,44961209.26,20,7201048.27,7,3616094.00,3,0.00,0,-1082.40,16
2023-03-07,44535314.79,18,7281676.98,7,3591295.48,3,0.00,0,-1172.87,14
2023-03-08,43095571.38,18,6985234.63,6,3520060.43,3,0.00,0,469.74,14
